,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,States,Counties
28,Allegan,2276,Valid,H5,32000.0,Fell,1899.0,42.53333,-85.88333,"(42.53333, -85.88333)",50.0,429.0
34,Andover,2295,Valid,L6,3200.0,Fell,1898.0,44.61667,-70.75,"(44.61667, -70.75)",49.0,1723.0
46,Archie,2329,Valid,H6,5070.0,Fell,1932.0,38.5,-94.3,"(38.5, -94.3)",18.0,2697.0
49,Ash Creek,48954,Valid,L6,9500.0,Fell,2009.0,31.805,-97.01,"(31.805, -97.01)",23.0,774.0
54,Athens,4885,Valid,LL6,265.0,Fell,1933.0,34.75,-87.0,"(34.75, -87.0)",29.0,3134.0
55,Atoka,4888,Valid,L6,1384.2,Fell,1945.0,34.31667,-96.15,"(34.31667, -96.15)",20.0,602.0
64,Aztec,4913,Valid,L6,2830.0,Fell,1938.0,36.8,-108.0,"(36.8, -108.0)",11.0,1989.0
67,Bald Mountain,4925,Valid,L4,3700.0,Fell,1929.0,35.96667,-82.48333,"(35.96667, -82.48333)",37.0,2373.0
68,Baldwyn,4926,Valid,L6,345.0,Fell,1922.0,34.5,-88.66667,"(34.5, -88.66667)",32.0,495.0
84,Bath,4974,Valid,H4,21000.0,Fell,1892.0,45.41667,-98.31667,"(45.41667, -98.31667)",21.0,662.0
85,Bath Furnace,4975,Valid,L6,86000.0,Fell,1902.0,38.25,-83.75,"(38.25, -83.75)",36.0,1921.0
86,Battle Mountain,56133,Valid,L6,2900.0,Fell,2012.0,40.66813,-117.18913,"(40.66813, -117.18913)",10.0,2397.0
88,Baxter,4977,Valid,L6,611.0,Fell,1916.0,36.75,-93.5,"(36.75, -93.5)",18.0,2216.0
89,Beardsley,4984,Valid,H5,16000.0,Fell,1929.0,39.8,-101.2,"(39.8, -101.2)",17.0,1285.0
92,Bells,5005,Valid,C2-ung,375.0,Fell,1961.0,33.6,-96.46667,"(33.6, -96.46667)",23.0,1978.0
97,Benld,5021,Valid,H6,1770.5,Fell,1938.0,39.08333,-89.15,"(39.08333, -89.15)",34.0,1869.0
104,Berthoud,47355,Valid,Eucrite-mmict,960.0,Fell,2004.0,40.30583,-105.02325,"(40.30583, -105.02325)",9.0,1072.0
105,Bethlehem,5032,Valid,H,13.9,Fell,1859.0,42.53333,-73.83333,"(42.53333, -73.83333)",47.0,2030.0
118,Bishopville,5059,Valid,Aubrite,6000.0,Fell,1843.0,34.16667,-80.28333,"(34.16667, -80.28333)",33.0,657.0
122,Black Moshannan Park,5065,Valid,L5,705.0,Fell,1941.0,40.91667,-78.08333,"(40.91667, -78.08333)",48.0,2495.0
123,Blackwell,5068,Valid,L5,2381.0,Fell,1906.0,36.83333,-97.33333,"(36.83333, -97.33333)",20.0,2164.0
124,Blanket,5071,Valid,L6,5100.0,Fell,1909.0,31.83333,-98.83333,"(31.83333, -98.83333)",23.0,3063.0
126,Bloomington,5076,Valid,LL6,67.8,Fell,1938.0,40.48,-89.00417,"(40.48, -89.00417)",34.0,1795.0
140,Bradford Woods,5128,Valid,L,762.0,Fell,1886.0,40.5,-80.08333,"(40.5, -80.08333)",48.0,2455.0
151,Burnwell,5175,Valid,H4-an,1504.0,Fell,1990.0,37.62194,-82.23722,"(37.62194, -82.23722)",36.0,256.0
158,Cabin Creek,5186,Valid,"Iron, IIIAB",48500.0,Fell,1886.0,35.5,-93.5,"(35.5, -93.5)",15.0,1029.0
166,Canon City,5253,Valid,H6,1400.0,Fell,1973.0,38.47028,-105.24139,"(38.47028, -105.24139)",9.0,1448.0
167,Cape Girardeau,5260,Valid,H6,2300.0,Fell,1846.0,37.26667,-89.58333,"(37.26667, -89.58333)",18.0,2695.0
171,Castalia,5291,Valid,H5,7300.0,Fell,1874.0,36.08333,-78.06667,"(36.08333, -78.06667)",37.0,648.0
173,Castine,5293,Valid,L6,94.0,Fell,1848.0,44.38333,-68.75,"(44.38333, -68.75)",49.0,414.0
175,Caswell County,5296,Valid,OC,1360.0,Fell,1810.0,36.5,-79.25,"(36.5, -79.25)",37.0,637.0
177,Centerville,5307,Valid,H5,45.6,Fell,1956.0,43.2,-96.91667,"(43.2, -96.91667)",21.0,2684.0
187,Charlotte,5328,Valid,"Iron, IVA",4300.0,Fell,1835.0,36.16667,-87.33333,"(36.16667, -87.33333)",39.0,2007.0
197,Cherokee Springs,5340,Valid,LL6,8400.0,Fell,1933.0,35.03333,-81.88333,"(35.03333, -81.88333)",33.0,2582.0
202,Chicora,5349,Valid,LL6,303.0,Fell,1938.0,40.93333,-79.73333,"(40.93333, -79.73333)",48.0,2459.0
207,Claxton,5374,Valid,L6,1455.0,Fell,1984.0,32.1025,-81.87278,"(32.1025, -81.87278)",31.0,67.0
209,Colby (Wisconsin),5395,Valid,L6,104000.0,Fell,1917.0,44.9,-90.28333,"(44.9, -90.28333)",41.0,877.0
211,Coleman,5401,Valid,L6,469.0,Fell,1994.0,43.76111,-84.50778,"(43.76111, -84.50778)",50.0,356.0
216,Crescent,5470,Valid,CM2,78.4,Fell,1936.0,35.95,-97.58333,"(35.95, -97.58333)",20.0,2201.0
218,Cross Roads,5476,Valid,H5,167.0,Fell,1892.0,35.63333,-78.13333,"(35.63333, -78.13333)",37.0,2332.0
220,Cumberland Falls,5496,Valid,Aubrite,17000.0,Fell,1919.0,36.83333,-84.35,"(36.83333, -84.35)",36.0,1426.0
221,Cynthiana,5500,Valid,L/LL4,6000.0,Fell,1877.0,38.4,-84.25,"(38.4, -84.25)",36.0,244.0
225,Danville,5514,Valid,L6,2000.0,Fell,1868.0,34.4,-87.06667,"(34.4, -87.06667)",29.0,103.0
233,Denver,6660,Valid,L6,230.0,Fell,1967.0,39.7825,-104.93056,"(39.7825, -104.93056)",9.0,1444.0
257,Drake Creek,7728,Valid,L6,5000.0,Fell,1827.0,36.4,-86.5,"(36.4, -86.5)",39.0,2115.0
269,Eagle,7760,Valid,EL6,10000.0,Fell,1947.0,40.78167,-96.47167,"(40.78167, -96.47167)",19.0,462.0
277,Elbert,7822,Valid,LL6,680.5,Fell,1998.0,39.24667,-104.58817,"(39.24667, -104.58817)",9.0,88.0
291,Estherville,10059,Valid,Mesosiderite-A3/4,320000.0,Fell,1879.0,43.41667,-94.83333,"(43.41667, -94.83333)",16.0,277.0
292,Farmington,10074,Valid,L5,89400.0,Fell,1890.0,39.75,-97.03333,"(39.75, -97.03333)",17.0,1300.0
